document_id,source_id,candidate_id,document_role,is_primary,official_page_url,download_url,source_name,title,published_at,discovery_method,download_status,conversion_status,pdf_path,markdown_path,notes,public_url,has_pdf,has_markdown,included_in_public_sources,used_in_candidate_analysis,used_in_comparison,coverage_status,coverage_label
abelardo-espriella-programa-2026,src-20260420-abelardo-program-pdf,abelardo-de-la-espriella,programa-base,TRUE,https://defensoresdelapatria.com/,https://defensoresdelapatria.com/wp-content/uploads/2026/04/PROPUESTAS-ABELARDO-DE-LA-ESPRIELLA-EL-TIGRE.pdf,Defensores de la Patria,Propuestas Abelardo de la Espriella: El Tigre,2026-04-01T00:00:00Z,official_site_pdf,downloaded,converted,data/program_documents/files/abelardo-de-la-espriella/abelardo-espriella-programa-2026.pdf,data/program_documents/files/abelardo-de-la-espriella/abelardo-espriella-programa-2026.md,PDF oficial de propuestas hospedado en el sitio de campaña.,https://defensoresdelapatria.com/wp-content/uploads/2026/04/PROPUESTAS-ABELARDO-DE-LA-ESPRIELLA-EL-TIGRE.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
claudia-lopez-programa-2026,src-20260420-claudia-program-pdf,claudia-lopez,programa-base,TRUE,https://claudia-lopez.com/programa-de-gobierno-de-claudia-lopez/,https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf,Claudia López,Programa de Gobierno de Claudia López,2026-02-18T00:00:00Z,official_site_pdf,downloaded,converted,data/program_documents/files/claudia-lopez/claudia-lopez-programa-2026.pdf,data/program_documents/files/claudia-lopez/claudia-lopez-programa-2026.md,PDF oficial enlazado desde la página de programa de la campaña.,https://claudia-lopez.com/wp-content/uploads/2026/04/Programa-Gobierno-Claudia-Lopez-Leonardo-Huerta.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
ivan-cepeda-programa-2026,src-20260420-ivan-program-pdf,ivan-cepeda,programa-base,TRUE,https://pactohistorico.co/,https://pactohistorico.co/periodico_el_cambio_se_siente.pdf,Pacto Histórico,El Periódico del Cambio: Programa de Gobierno 2026-2030,2026-03-01T00:00:00Z,official_site_pdf,downloaded,converted,data/program_documents/files/ivan-cepeda/ivan-cepeda-programa-2026.pdf,data/program_documents/files/ivan-cepeda/ivan-cepeda-programa-2026.md,PDF oficial enlazado desde la portada de campaña de Iván Cepeda.,https://pactohistorico.co/periodico_el_cambio_se_siente.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
luis-gilberto-murillo-programa-2026,src-20260420-murillo-program-home,luis-gilberto-murillo,programa-base,TRUE,https://murilloporcolombia.com/,https://murilloporcolombia.com/,Murillo presidente,Sitio oficial y ejes programáticos de Luis Gilberto Murillo,2026-04-21T00:00:00Z,official_site_html,downloaded,converted,NA,data/program_documents/files/luis-gilberto-murillo/luis-gilberto-murillo-programa-2026.md,Sitio oficial accesible en HTML; se convirtió con MarkItDown desde la portada que enlaza categorías programáticas y recursos de campaña.,https://murilloporcolombia.com/,FALSE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
paloma-valencia-programa-2026,src-20260420-paloma-program-pdf,paloma-valencia,programa-base,TRUE,https://palomavalencia.com/propuestas.html,https://palomavalencia.com/images/documentos/Plan%20Integrado%20de%20Gobierno%20Final_compressed.pdf,Paloma Valencia,Plan Integrado de Gobierno,2026-04-14T00:00:00Z,official_site_pdf,downloaded,converted,data/program_documents/files/paloma-valencia/paloma-valencia-programa-2026.pdf,data/program_documents/files/paloma-valencia/paloma-valencia-programa-2026.md,PDF oficial descargable desde la sección de propuestas.,https://palomavalencia.com/images/documentos/Plan%20Integrado%20de%20Gobierno%20Final_compressed.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
sergio-fajardo-programa-2026,src-20260420-fajardo-program-pdf,sergio-fajardo,programa-base,TRUE,https://www.sergiofajardo.com/,https://drive.google.com/uc?export=download&id=1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7,Sergio Fajardo,Programa de gobierno Cambio. Serio. Seguro.,2026-04-18T00:00:00Z,official_site_drive,downloaded,converted,data/program_documents/files/sergio-fajardo/sergio-fajardo-programa-2026.pdf,data/program_documents/files/sergio-fajardo/sergio-fajardo-programa-2026.md,PDF oficial enlazado desde la portada del sitio de campaña.,https://drive.google.com/uc?export=download&id=1b0JOU1qalqmih9YdYbuWIDWQEAAvYWn7,TRUE,TRUE,TRUE,TRUE,TRUE,comparison_ready,Comparación activa
